model,A_up,A_lo,E5_up,E5_lo,alpha_star_up,NSE,KGE,lnNSE,PBIAS
gr4j[kge],0.318,0.54,0.254,0.948,0.238,0.671,0.664,0.593,8.976
gr4j[lnnse],0.295,0.517,0.278,0.963,0.407,0.537,0.484,0.705,-9.619
gru[nse],0.262,0.527,0.219,0.677,0.188,0.721,0.62,0.623,-1.197
hbv[kge],0.424,0.721,0.297,0.966,0.16,0.578,0.641,0.413,-2.748
hbv[lnnse],0.309,0.509,0.299,0.915,0.276,0.456,0.397,0.673,-14.787
lstm[delta],0.249,0.443,0.237,0.77,0.423,0.64,0.562,0.771,-11.365
lstm[logmse],0.4,0.803,0.215,0.967,0.162,0.529,0.222,-0.468,43.336
lstm[mae],0.233,0.48,0.216,0.876,0.371,0.72,0.617,0.78,-10.356
lstm[mse],0.268,0.58,0.228,0.783,0.25,0.717,0.588,0.496,4.371
lstm[nse],0.262,0.591,0.217,0.902,0.219,0.716,0.616,0.573,0.95
patchtst[nse],0.436,0.652,0.531,0.817,0.273,0.073,-0.043,-0.018,-12.238
tcn[nse],0.285,0.61,0.24,0.931,0.239,0.693,0.595,0.556,-2.574
transformer[delta],0.284,0.316,0.264,0.228,0.2,0.63,0.576,0.73,-13.439
transformer[logmse],1.0,0.903,1.0,0.607,,-0.074,,-3.4,-100.0
transformer[mae],0.261,0.388,0.236,0.517,0.298,0.722,0.623,0.795,-13.43
transformer[mse],0.295,0.474,0.256,0.623,0.271,0.691,0.592,0.6,-7.584
transformer[nse],0.276,0.443,0.233,0.624,0.238,0.718,0.631,0.689,-8.654
