basin,perturbation,pclass,A_up,A_lo,E5_up,E5_lo,B5_up,B5_lo,E1_up,E1_lo,E20_up,E20_lo,alpha_star_up,alpha_star_lo,delta_bar,beta_bar,Delta_asym,n,m1,zero_frac,cp1_up,ncp_up,cp1_lo,ncp_lo,H_mean_up,H_mean_lo,H5_up,H5_lo,NSE,lnNSE,KGE,KGEp,KGEnp,PBIAS,RMSE,RSR,VE,MAPE,SMAPE,BiasFHV,BiasFLV,BiasFMS,PeakBias,Q95Bias,Q90Bias,BFIBias
108003A,P1_peak_damp_0.70,P1,0.07131623353505616,0.059214820393741686,0.11185896612450148,0.06082556941647406,-0.10536241016324252,-0.003225637501035816,0.13836311751730035,0.06128881793817908,0.07303934259839774,0.058810025959579106,,0.037653865729408355,0.06204402618084809,-0.008746420099276767,0.012101413141314472,3652,37,0.0,0.06,6,0.06,6,0.9620383816207362,0.9555472536756413,0.4729061441311366,0.999019800643333,0.925988785920601,0.982356010014678,0.7762277665171361,0.8397647475756795,0.9044635512567136,-8.221477110633586,3.122334161179679,0.27205002128174705,0.8455470383207274,12.330495688785552,12.408805236169611,-21.434422818483657,-1.429494848461774,1.0264692254163494,-24.03218870543894,-0.3004765348432383,-2.1336561887331453,-0.8723942415382456
108003A,P1_peak_damp_0.85,P1,0.06331452909108622,0.05824331623061623,0.07474902501764631,0.05694807285770747,-0.04478125327604149,-0.0006135649197937007,0.07340494925403199,0.06499955493032332,0.06418298720161368,0.05735237131969691,,0.03172480332900901,0.05994537176800522,-0.004987855730058833,0.0050712128604699855,3652,37,0.0,0.06,4,0.37,6,0.9919207387219872,0.9909604283986522,0.8999253655893321,0.9993844692510537,0.963700309675399,0.983855261527415,0.9113224508639282,0.936163404860679,0.9639708353034673,-2.934344189336637,2.186664107952596,0.19052477614368418,0.8714839975732762,11.988235332933492,11.989074353601065,-7.911289996429276,-7.449083462460657,2.7894463718039026,-10.310915739677565,-1.7753437321712018,-0.6579148464770963,-3.3610183059960868
108003A,P2_peak_infl_1.15,P2,0.06266665779595436,0.059027744373468645,0.07207155838462996,0.057110361756069906,0.04833270027712269,-0.004350951826861187,0.0832140701515158,0.06466671017824684,0.06341120824006947,0.058539194779276466,,0.020575604906940458,0.0601227928393977,0.004382909966247332,0.0036389134224857136,3652,37,0.0,0.1,6,0.06,6,0.9867381138482262,0.983407306711484,0.8330067035414013,0.9989948386881862,0.9476702338987469,0.9835547396944436,0.8389424706661901,0.8975260773692634,0.9308756752215234,6.276897850204092,2.625457625494668,0.2287570022999363,0.8612562580600234,12.269813860002971,12.024558567879529,16.030195419739275,-2.3882781551793775,3.783920568101624,15.230232394297055,-1.9794139233656822,-1.9846709093106778,-8.156503952029752
108003A,P2_peak_infl_1.30,P2,0.06856554140097176,0.06043996072132775,0.10054738055763884,0.061338041476668895,0.09030540251220977,-0.0012019801372825543,0.13683539876972337,0.06799537319273924,0.06942241768197635,0.06076995360343601,,0.039016592563279336,0.061782443348126014,0.0054176455275233995,0.008125580679644015,3652,37,0.0,0.06,6,0.17,6,0.9694316106116898,0.9620664104818375,0.5458857524283838,0.9968110806865657,0.8762889280940936,0.9825965115663201,0.6881298776700037,0.8023545037955524,0.8789806826600584,10.98405180892014,4.036778325974303,0.3517258476511306,0.8259404351838785,12.665076783033067,12.356488669625202,30.185758805658462,-4.7296888670400525,2.5357208908915867,33.00466152019368,-0.8914077228227356,2.470090874283237,-9.89172754008816
108003A,P3_base_infl_0.10,P3,0.06347312073757465,0.15958225912056492,0.05713300946362071,0.33676109447682623,-0.0062755439884073765,0.33676109447682623,0.05687113035772848,0.47492950930223005,0.05564824577086965,0.19882949744550654,0.1488752552613186,,0.09520579179491968,0.06759427225286391,-0.09610913838299028,3652,37,0.0,0.41,6,0.06,6,0.7000846257463819,0.7101806304131277,0.9941348551768703,0.00978627966100225,0.9596984866003931,0.95475757122639,0.9284210879017543,0.9534083149845551,0.9503701720166041,4.034857336282466,2.304046787775202,0.20075236835366825,0.8679084824258646,23.290254959802784,19.04115835898396,2.016571877032174,39.87943568199341,-7.688652078020544,2.962366880901554,60.75770377497446,36.45400551374189,-3.352104095328921
108003A,P3_base_infl_0.25,P3,0.0808565360616398,0.2805362144165018,0.054470779767740014,0.5472473808808255,0.003073442016947529,0.5472473808808255,0.04772869950288007,0.6782640453947731,0.05857782423493242,0.3643215537784489,0.0430508507195161,,0.15634380244265714,0.1369323961167556,-0.199679678354862,3652,37,0.0,0.3,6,0.06,6,0.4541426553737994,0.4640572613876426,0.9889576115048783,0.0,0.9770372725899262,0.8681903875030736,0.91513935069245,0.8774063943909712,0.9022137661364846,8.302493200434922,1.7391712663225187,0.15153457496582687,0.8334858197780364,46.787961177711495,31.268760488531427,-0.28893963884748736,50.92536436481051,-20.06643901152936,-1.941796812324141,148.52765174750652,94.78039783488462,-0.8066169216804578
108003A,P4_base_depl_0.50,P4,0.1538205138060938,0.31918436949867496,0.0683915954725003,0.33271700671787224,9.061058714215574e-05,-0.33271700671787224,0.06899397534621136,0.3440739281052382,0.061353013254799825,0.3349038443772541,0.026525015672583724,,0.25099241213301177,-0.23284805746079187,-0.16536385569258116,3652,37,0.0,0.11,6,0.44,6,0.30613091549636,0.3161275062130514,0.9992679761181501,0.0,0.956574104522453,0.761741518867554,0.880268293606659,0.792061728141932,0.8552260000287849,-10.444533808977363,2.391690661493146,0.20838880842681307,0.7873221237397681,38.362211323791435,50.198482426602354,3.4701199873657513,-3.1150011782383444,44.92057394864872,0.21666024478734303,-50.03033486573177,-51.06554368352711,-14.579439763234314
108003A,P4_base_depl_0.75,P4,0.08863880672098146,0.1382012115141094,0.06286612439734157,0.1330885985536769,0.007539070939111019,-0.13122750711240108,0.06893018535112595,0.13170803185562835,0.06056556602341951,0.14306952581504648,0.08347944779085878,,0.11808127806533567,-0.09874796802938707,-0.04956240479312796,3652,37,0.0,0.3,5,0.06,6,0.4292899634691659,0.43658670187147586,0.9978375588919576,0.2587495146393169,0.9680304100218292,0.9455465823918403,0.9349884823692338,0.8962140387562403,0.9350999767802194,-4.249722245815487,2.052102973197509,0.1788004194015517,0.848683988315513,20.712230259642705,23.616255613067153,4.334910997855547,-1.8384536580802746,20.4711552328516,3.2731524913436316,-24.054022778179363,-25.87935513843265,-10.058324043878635
108003A,P5_compensating,P5,0.09972748818176483,0.30374104685467795,0.10883556965291147,0.5794310095357365,-0.10065029144501367,0.5794310095357365,0.14093597763081542,0.7130638051580434,0.07810562546985943,0.39560368703211146,0.4241391692843766,,0.17288932537500637,0.13955275892486507,-0.20401355867291313,3652,37,0.0,0.09,6,0.06,6,0.3934152919966277,0.3964611588818417,0.464602777130162,0.0,0.9297555284252322,0.8403089291238766,0.7858190441894832,0.7858190441894832,0.9152225144831843,-1.4428529792794547e-15,3.04184227494992,0.2650367362739885,0.7825385456494047,53.367305818882336,34.577865075001284,-20.347630331972855,58.05656932120625,-24.41198645768337,-24.12377920991909,168.33121032899723,109.04017270211901,3.3766804708519156
108003A,P6_shift_1d,P6,0.18947892098837496,0.08669533545493766,0.31454095783433667,0.07673358098135111,-0.19404514572529538,0.012315773679833848,0.37551058917394037,0.0768521160063209,0.23546722554375518,0.07610163092569869,0.7241478065993104,,0.12516649815048872,0.0030522834632106762,0.1027835855334373,3652,37,0.0,0.06,6,0.49,6,0.9616718952452333,0.9599077514008667,0.9081330919897143,0.9988457516313647,0.44944803432535274,0.8744711220329975,0.7212381366596505,0.7212364563430078,0.949380835066392,0.003989692997349839,8.515884749194711,0.7419918905720246,0.5746170994264188,25.85038404896934,25.033299630097844,-1.3787143713087613,0.3097540839281483,1.6447316079153333,-39.06997468462169,-1.3061178725267886,-5.131292345985651,-4.5904968578680005
108003A,P6_shift_3d,P6,0.32033216487726374,0.1307988131324831,0.5322484475466361,0.10320831959074318,-0.454188304376379,0.053954268916538185,0.6595840058387685,0.08285252556954076,0.39937629703158856,0.1066878265477589,0.7634923329686988,,0.20515225016708735,0.010688431943624488,0.18953335174478064,3652,37,0.0,0.06,6,0.58,6,0.9031245898149329,0.8986668466505268,0.6277838167371057,0.8726804131290293,-0.26311388621640086,0.658354042082506,0.3757032100450115,0.3758151098239114,0.8687029295145614,1.3176412814405543,12.898876102910563,1.1238833952934801,0.2600688298858179,49.04604602814903,41.030450033417345,1.762066527302777,-9.608867504654143,0.9702735322622187,-75.75686223918704,-0.2983931184631962,-1.105014275410322,-5.474407759724256
108003A,P7_var_compress_0.80,P7,0.10334194842577996,0.35880397662220415,0.11109036828440977,0.6771579692859266,-0.10001189429273553,0.6771579692859266,0.1348065868857916,0.7992913837701299,0.08151943330465597,0.4787656102561828,0.48588770549507543,,0.1966289358832657,0.15825100707728276,-0.25546202819642416,3652,37,0.0,0.69,6,0.06,6,0.4003832691099143,0.4034291359951283,0.5092767785956445,0.0,0.9161957391937282,0.7636078165774566,0.7773501464513621,0.7756147591769809,0.9007002226912715,0.22455255458305726,3.3224898763313218,0.2894896557845751,0.767801666199284,70.9519028281433,39.325787176653165,-19.637053329773988,63.972549987174546,-30.903656805654656,-23.043775774623683,250.46508112933117,155.62861435988458,3.4701004381870035
108003A,P7_var_compress_0.90,P7,0.07551387892296567,0.25145694120002204,0.07249051226588946,0.5229669082366608,-0.04651732447418775,0.5229669082366608,0.07978911496007599,0.6754939841735068,0.06394770493147645,0.33394681293678846,0.4743152264690545,,0.13576103790293376,0.10325151289750523,-0.17594306227705636,3652,37,0.0,0.62,6,0.06,6,0.5579537943598121,0.5657449775776289,0.8662597628359237,0.0,0.9652961268448249,0.8936906353890242,0.8868482440634828,0.8804270163280411,0.9503347557363104,0.7342932673678343,2.13805853055924,0.18628975590508226,0.8414359257646502,39.487423307766036,27.15220758058677,-10.09373631784679,55.67066038702086,-16.88364678082297,-12.940975323302688,127.91904893212951,81.12477176503178,-0.608214271041241
108003A,P8_mult_noise_0.10,P8,0.039617026722585984,0.04124428481636723,0.03822182887743262,0.0436450916865481,0.0029882647178023983,-0.002240357441064634,0.04315676003377459,0.0445221433874363,0.03950875805434468,0.042363645148736084,0.029244200894447778,0.7499244173959668,0.04010071330021688,0.00028697936289712194,-0.0016272580937812461,3652,37,0.0,0.06,4,0.14,3,0.996657989589727,0.9967100457603878,0.9967294914182545,0.9996213191217598,0.9828887831937578,0.9929695106855185,0.9753080770544983,0.9814153000189841,0.9873152102897066,0.6949417340169638,1.5013123716860695,0.13080984980590027,0.918862706409533,8.06948290275323,8.020142660043392,0.47032349026038556,-0.5225137652128448,1.65927700670676,-0.17850701456965953,-0.15076016145004942,-1.4581795764499443,-3.3755821290315575
108003A,P8_mult_noise_0.30,P8,0.11917441445109282,0.11620785306803655,0.11763713096664925,0.10977431151475811,-0.0016534275727919205,0.017376928442584646,0.10954206987353604,0.11165539982307063,0.12026707893615178,0.11565460723574962,0.04711553524305301,0.013773512176579896,0.11797467458611142,0.0014096448349179276,0.0029665613830562737,3652,37,0.0,0.25,6,0.08,6,0.9963341246582132,0.9963888157251756,0.9947418269275989,0.9990526360421276,0.8520241982225571,0.936082185643193,0.8271011703699893,0.879348881486223,0.9282580823197795,5.707259682174744,4.414951807968791,0.3846762298055897,0.7477557208540924,24.791344253050312,23.59493491722229,15.331726800840217,-16.63878838206682,4.79866899687571,13.271194980166335,-1.4927685774591628,-3.8108717579242906,-15.097708262721698
105102A,P1_peak_damp_0.70,P1,0.08086918869725353,0.02319904457808399,0.15028198441143303,0.0,-0.14890807588161992,0.0,0.17105349469598424,0.0,0.09082123670719768,0.0,,0.2721992759365386,0.05042129839342771,-0.009399648778583977,0.05767014411916954,3652,37,0.2677984665936473,0.06,6,0.23,6,0.9240052442211992,0.9128786515378637,0.2137477125861747,,0.9069324975372559,0.996295025471467,0.6283308555768466,0.7534948085556864,0.757314394556508,-23.905548800660817,1.3608289181759006,0.30506966821161374,0.7477211662809924,13.487925215923873,10.084259678685557,-28.296815877868738,-0.029239667303131274,-0.334247955980583,-29.262825886124634,0.0,0.0,5.431419914461692
105102A,P1_peak_damp_0.85,P1,0.06491235071023124,0.02272097593234551,0.08688138097996914,0.0,-0.06566952861687878,0.0,0.09579074177590603,0.0,0.06962910917592051,0.0,,0.29075956288530824,0.04595006720198139,-0.006307002817376806,0.04219137477788573,3652,37,0.2677984665936473,0.06,6,0.28,6,0.9742653848516217,0.9691057956108926,0.7630749270234011,,0.96290094347864,0.9974328695613959,0.8063531329766065,0.8757098963261676,0.8807885292189275,-11.602801499749832,0.8591835085587751,0.19261115367849296,0.8444237622976176,12.478410418491928,9.190013440396282,-14.563303086959305,0.25840573470208306,1.5303693393720283,-15.752811719398185,0.0,0.0,2.3883500198545655
