variant,zero_stratum,n,undefined,out_of_range
V1_volume,0%,174,0.0,0.06247126436781609
V1_volume,0-5%,68,0.01088235294117648,0.2499019028495497
V1_volume,5-20%,76,0.10263157894736842,0.46533685039491673
V1_volume,>20%,124,0.46354838709677415,0.7243311550005943
V2_mape,0%,174,0.034482758620689655,0.10095238095238096
V2_mape,0-5%,68,1.0,
V2_mape,5-20%,76,1.0,
V2_mape,>20%,124,1.0,
V3_mae,0%,174,0.0,0.0
V3_mae,0-5%,68,0.0,0.0
V3_mae,5-20%,76,0.0,0.0
V3_mae,>20%,124,0.0,0.0
V4_delta,0%,174,0.0,0.0
V4_delta,0-5%,68,0.0,0.0
V4_delta,5-20%,76,0.0,0.0
V4_delta,>20%,124,0.0,0.0
V5_delta_ymax,0%,174,0.0,0.0
V5_delta_ymax,0-5%,68,0.0,0.0
V5_delta_ymax,5-20%,76,0.0,0.0
V5_delta_ymax,>20%,124,0.0,0.0
