model_a,model_b,criterion,n_basins,flip_rate
gru[nse],lstm[nse],A_up,221,0.3755656108597285
gru[nse],lstm[nse],A_lo,221,0.47058823529411764
gru[nse],lstm[nse],E5_up,221,0.37104072398190047
gru[nse],lstm[nse],E5_lo,221,0.45248868778280543
gru[nse],lstm[nse],delta_bar,221,0.4253393665158371
gru[nse],patchtst[nse],A_up,221,0.248868778280543
gru[nse],patchtst[nse],A_lo,221,0.26244343891402716
gru[nse],patchtst[nse],E5_up,221,0.13122171945701358
gru[nse],patchtst[nse],E5_lo,221,0.3257918552036199
gru[nse],patchtst[nse],delta_bar,221,0.27601809954751133
gru[nse],tcn[nse],A_up,221,0.416289592760181
gru[nse],tcn[nse],A_lo,221,0.43891402714932126
gru[nse],tcn[nse],E5_up,221,0.34841628959276016
gru[nse],tcn[nse],E5_lo,221,0.4298642533936652
gru[nse],tcn[nse],delta_bar,221,0.4072398190045249
gru[nse],transformer[nse],A_up,221,0.3665158371040724
gru[nse],transformer[nse],A_lo,221,0.43891402714932126
gru[nse],transformer[nse],E5_up,221,0.3167420814479638
gru[nse],transformer[nse],E5_lo,221,0.46153846153846156
gru[nse],transformer[nse],delta_bar,221,0.4434389140271493
lstm[nse],patchtst[nse],A_up,221,0.2398190045248869
lstm[nse],patchtst[nse],A_lo,221,0.3031674208144796
lstm[nse],patchtst[nse],E5_up,221,0.20361990950226244
lstm[nse],patchtst[nse],E5_lo,221,0.4660633484162896
lstm[nse],patchtst[nse],delta_bar,221,0.2081447963800905
lstm[nse],tcn[nse],A_up,221,0.38009049773755654
lstm[nse],tcn[nse],A_lo,221,0.4343891402714932
lstm[nse],tcn[nse],E5_up,221,0.3167420814479638
lstm[nse],tcn[nse],E5_lo,221,0.48868778280542985
lstm[nse],tcn[nse],delta_bar,221,0.4072398190045249
lstm[nse],transformer[nse],A_up,221,0.3076923076923077
lstm[nse],transformer[nse],A_lo,221,0.45701357466063347
lstm[nse],transformer[nse],E5_up,221,0.3393665158371041
lstm[nse],transformer[nse],E5_lo,221,0.5158371040723982
lstm[nse],transformer[nse],delta_bar,221,0.3755656108597285
patchtst[nse],tcn[nse],A_up,221,0.21266968325791855
patchtst[nse],tcn[nse],A_lo,221,0.38009049773755654
patchtst[nse],tcn[nse],E5_up,221,0.1583710407239819
patchtst[nse],tcn[nse],E5_lo,221,0.5203619909502263
patchtst[nse],tcn[nse],delta_bar,221,0.26244343891402716
patchtst[nse],transformer[nse],A_up,221,0.248868778280543
patchtst[nse],transformer[nse],A_lo,221,0.334841628959276
patchtst[nse],transformer[nse],E5_up,221,0.2081447963800905
patchtst[nse],transformer[nse],E5_lo,221,0.45701357466063347
patchtst[nse],transformer[nse],delta_bar,221,0.27601809954751133
tcn[nse],transformer[nse],A_up,221,0.34841628959276016
tcn[nse],transformer[nse],A_lo,221,0.4434389140271493
tcn[nse],transformer[nse],E5_up,221,0.31221719457013575
tcn[nse],transformer[nse],E5_lo,221,0.48868778280542985
tcn[nse],transformer[nse],delta_bar,221,0.40271493212669685
