model_a,model_b,criterion,n_basins,flip_rate
gr4j[kge],gr4j[lnnse],A_up,221,0.5113122171945701
gr4j[kge],gr4j[lnnse],A_lo,221,0.6289592760180995
gr4j[kge],gr4j[lnnse],E5_up,221,0.3438914027149321
gr4j[kge],gr4j[lnnse],E5_lo,221,0.5701357466063348
gr4j[kge],gr4j[lnnse],delta_bar,221,0.6244343891402715
gr4j[kge],gru[nse],A_up,221,0.2850678733031674
gr4j[kge],gru[nse],A_lo,221,0.38009049773755654
gr4j[kge],gru[nse],E5_up,221,0.2986425339366516
gr4j[kge],gru[nse],E5_lo,221,0.38461538461538464
gr4j[kge],gru[nse],delta_bar,221,0.3076923076923077
gr4j[kge],hbv[kge],A_up,221,0.3031674208144796
gr4j[kge],hbv[kge],A_lo,221,0.3212669683257919
gr4j[kge],hbv[kge],E5_up,221,0.33031674208144796
gr4j[kge],hbv[kge],E5_lo,221,0.5520361990950227
gr4j[kge],hbv[kge],delta_bar,221,0.31221719457013575
gr4j[kge],hbv[lnnse],A_up,221,0.42081447963800905
gr4j[kge],hbv[lnnse],A_lo,221,0.5384615384615384
gr4j[kge],hbv[lnnse],E5_up,221,0.22624434389140272
gr4j[kge],hbv[lnnse],E5_lo,221,0.6244343891402715
gr4j[kge],hbv[lnnse],delta_bar,221,0.5113122171945701
gr4j[kge],lstm[delta],A_up,221,0.45248868778280543
gr4j[kge],lstm[delta],A_lo,221,0.5067873303167421
gr4j[kge],lstm[delta],E5_up,221,0.4072398190045249
gr4j[kge],lstm[delta],E5_lo,221,0.4841628959276018
gr4j[kge],lstm[delta],delta_bar,221,0.4841628959276018
gr4j[kge],lstm[logmse],A_up,221,0.3076923076923077
gr4j[kge],lstm[logmse],A_lo,221,0.33031674208144796
gr4j[kge],lstm[logmse],E5_up,221,0.4796380090497738
gr4j[kge],lstm[logmse],E5_lo,221,0.5475113122171946
gr4j[kge],lstm[logmse],delta_bar,221,0.31221719457013575
gr4j[kge],lstm[mae],A_up,221,0.33031674208144796
gr4j[kge],lstm[mae],A_lo,221,0.3755656108597285
gr4j[kge],lstm[mae],E5_up,221,0.3936651583710407
gr4j[kge],lstm[mae],E5_lo,221,0.3891402714932127
gr4j[kge],lstm[mae],delta_bar,221,0.33031674208144796
gr4j[kge],lstm[mse],A_up,221,0.3167420814479638
gr4j[kge],lstm[mse],A_lo,221,0.5067873303167421
gr4j[kge],lstm[mse],E5_up,221,0.34841628959276016
gr4j[kge],lstm[mse],E5_lo,221,0.502262443438914
gr4j[kge],lstm[mse],delta_bar,221,0.45701357466063347
gr4j[kge],lstm[nse],A_up,221,0.33031674208144796
gr4j[kge],lstm[nse],A_lo,221,0.45701357466063347
gr4j[kge],lstm[nse],E5_up,221,0.34841628959276016
gr4j[kge],lstm[nse],E5_lo,221,0.49321266968325794
gr4j[kge],lstm[nse],delta_bar,221,0.38461538461538464
gr4j[kge],patchtst[nse],A_up,221,0.16289592760180996
gr4j[kge],patchtst[nse],A_lo,221,0.28054298642533937
gr4j[kge],patchtst[nse],E5_up,221,0.10407239819004525
gr4j[kge],patchtst[nse],E5_lo,221,0.49321266968325794
gr4j[kge],patchtst[nse],delta_bar,221,0.2398190045248869
gr4j[kge],tcn[nse],A_up,221,0.4479638009049774
gr4j[kge],tcn[nse],A_lo,221,0.5294117647058824
gr4j[kge],tcn[nse],E5_up,221,0.34841628959276016
gr4j[kge],tcn[nse],E5_lo,221,0.4434389140271493
gr4j[kge],tcn[nse],delta_bar,221,0.5113122171945701
gr4j[kge],transformer[delta],A_up,221,0.3891402714932127
gr4j[kge],transformer[delta],A_lo,221,0.4796380090497738
gr4j[kge],transformer[delta],E5_up,221,0.38461538461538464
gr4j[kge],transformer[delta],E5_lo,221,0.4660633484162896
gr4j[kge],transformer[delta],delta_bar,221,0.40271493212669685
gr4j[kge],transformer[logmse],A_up,221,0.10407239819004525
gr4j[kge],transformer[logmse],A_lo,221,0.3393665158371041
gr4j[kge],transformer[logmse],E5_up,221,0.09502262443438914
gr4j[kge],transformer[logmse],E5_lo,221,0.4841628959276018
gr4j[kge],transformer[logmse],delta_bar,221,0.16289592760180996
gr4j[kge],transformer[mae],A_up,221,0.3212669683257919
gr4j[kge],transformer[mae],A_lo,221,0.34841628959276016
gr4j[kge],transformer[mae],E5_up,221,0.37104072398190047
gr4j[kge],transformer[mae],E5_lo,221,0.36199095022624433
gr4j[kge],transformer[mae],delta_bar,221,0.3257918552036199
gr4j[kge],transformer[mse],A_up,221,0.34841628959276016
gr4j[kge],transformer[mse],A_lo,221,0.4434389140271493
gr4j[kge],transformer[mse],E5_up,221,0.3574660633484163
gr4j[kge],transformer[mse],E5_lo,221,0.4298642533936652
gr4j[kge],transformer[mse],delta_bar,221,0.4072398190045249
gr4j[kge],transformer[nse],A_up,221,0.3167420814479638
gr4j[kge],transformer[nse],A_lo,221,0.3891402714932127
gr4j[kge],transformer[nse],E5_up,221,0.3438914027149321
gr4j[kge],transformer[nse],E5_lo,221,0.416289592760181
gr4j[kge],transformer[nse],delta_bar,221,0.3755656108597285
gr4j[lnnse],gru[nse],A_up,221,0.3076923076923077
gr4j[lnnse],gru[nse],A_lo,221,0.45248868778280543
gr4j[lnnse],gru[nse],E5_up,221,0.17194570135746606
gr4j[lnnse],gru[nse],E5_lo,221,0.3936651583710407
gr4j[lnnse],gru[nse],delta_bar,221,0.40271493212669685
gr4j[lnnse],hbv[kge],A_up,221,0.4751131221719457
gr4j[lnnse],hbv[kge],A_lo,221,0.5339366515837104
gr4j[lnnse],hbv[kge],E5_up,221,0.3212669683257919
gr4j[lnnse],hbv[kge],E5_lo,221,0.4796380090497738
gr4j[lnnse],hbv[kge],delta_bar,221,0.497737556561086
gr4j[lnnse],hbv[lnnse],A_up,221,0.2171945701357466
gr4j[lnnse],hbv[lnnse],A_lo,221,0.4072398190045249
