basin,model,dataset,regime,A_up,A_lo,E5_up,E5_lo,B5_up,B5_lo,E1_up,E1_lo,E20_up,E20_lo,alpha_star_up,alpha_star_lo,delta_bar,beta_bar,Delta_asym,n,m1,zero_frac,cp1_up,ncp_up,cp1_lo,ncp_lo,H_mean_up,H_mean_lo,H5_up,H5_lo,NSE,lnNSE,KGE,KGEp,KGEnp,PBIAS,RMSE,RSR,VE,MAPE,SMAPE,BiasFHV,BiasFLV,BiasFMS,PeakBias,Q95Bias,Q90Bias,BFIBias
102101A,gru[nse],camels_aus,pub,0.33286314101790676,0.5844778902063784,0.4366355095930237,0.8043388669973106,-0.42601842026121073,0.6474117653904349,0.6272515238917594,0.7027027027027027,0.28875223780940984,0.7534792455383285,0.251593173412995,,0.42150011488697536,0.17559184287538826,-0.25161474918847165,3652,37,0.025191675794085433,0.06,6,0.09,6,0.788067767855444,0.7891173584477653,0.44328976165770373,0.46654905289319837,0.33015436955401267,0.7318496270865011,0.23846911909298463,0.3290783096461446,0.6312331595904461,-23.359015496986174,7.437617698647657,0.8184409755419063,0.3107783075643692,4364.626820249166,84.3000229773952,-65.0697092490231,-11.240935064966788,-9.906477268348631,-77.9467209058091,597.7680810861871,374.89099267509545,30.991784768503923
104001A,gru[nse],camels_aus,pub,0.3388249458483678,0.4291901415371641,0.1951756079934793,0.2786885245901639,-0.10614313986855205,0.2786885245901639,0.2378551697364369,0.1891891891891892,0.2597716741910105,0.2585499316005472,0.09693176556534501,0.46313203850687334,0.431569271471908,0.05009015759521231,-0.09036519568879631,3652,37,0.23877327491785322,0.11,6,0.24,6,0.6592706220706293,0.6632528900707487,0.979527176775159,0.0,0.6086098649315067,0.8425425935729647,0.5796855538109671,0.5004767292900656,0.743900872150759,16.93917680141913,3.1048251306890498,0.6256118086069774,0.41779613154204,11240.197559131506,86.31385429438167,-19.055118449984544,99.99999999999993,96.70385913999313,-31.233272788664646,0.0,0.0,21.666500002487364
105101A,gru[nse],camels_aus,pub,0.40484657412424013,0.8168629936014835,0.242338458355861,0.9617486338797814,-0.15670070213615195,0.9617486338797814,0.3246705651508581,0.972972972972973,0.2942424906461836,0.957709221965193,0.14565994911764735,,0.607289766348251,0.5280184727417513,-0.4120164194772434,3652,37,0.1486856516976999,0.17,6,0.23,6,0.3736546622766608,0.3809937602288742,0.9113867421921362,0.0,0.5493113237955856,0.4093291990746829,0.6237531309174473,0.5701716663662338,0.7200907757260413,11.127561879150386,2.3200859944769507,0.6713335059450067,0.30708812887278436,19785.28295646184,121.45795326965,-25.560702962010815,-176.42293110738478,-46.17143779888341,-46.864420161424555,1931965351104.7363,3857105970382.6904,26.667835233106334
105102A,gru[nse],camels_aus,pub,0.5633836634130995,0.36328083259861077,0.3187586730370194,0.0546448087431694,-0.243616192254284,0.0546448087431694,0.4755294961638925,0.08108108108108109,0.45079925671333476,0.058823529411764705,0.11143138612000478,0.28539442664413717,0.5477967158931264,-0.08730072959066006,0.20010283081448876,3652,37,0.2677984665936473,0.1,6,0.27,6,0.7964432849278194,0.7899963353563553,0.79305891826303,,0.4669569619760373,0.6383122280680866,0.39365183092143796,0.43200013711369745,0.6286957494583447,-8.629551361541816,3.256759129954968,0.7300979646759487,0.1907467414885553,976.0081739308157,109.55934317862521,-51.78816859642555,99.99999999999983,125.59508112291765,-66.37176180650997,0.0,0.0,57.365773804875545
105105A,gru[nse],camels_aus,pub,0.5252188945633696,0.8284062116890889,0.22430544779605707,0.9398907103825137,0.12394174399406377,0.9398907103825137,0.18457990886461226,0.9459459459459459,0.4327714219663144,0.9333555059037799,0.021368288775714173,,0.6884218638298729,0.6035674161142633,-0.30318731712571934,3652,37,0.13499452354874042,0.06,6,0.18,6,0.36463459285704386,0.3745014938391796,0.7101123946971916,0.0,0.2169177496244764,0.07528809472551545,-0.31111442887344554,-0.3978360204934872,-0.3045045545696543,127.17195763739826,4.199717190296459,0.8849193468195412,-0.49066355841405773,1786.6317511720113,137.6843727659749,12.73647598082183,-100.27395101258388,-7.836425579897477,-21.198377769420777,2322493791580.2017,7102346420288.086,37.04414218005974
107001B,gru[nse],camels_aus,pub,0.3554402205272907,0.6552248705836012,0.1928579806633514,0.8469945355191257,0.11305328681760747,0.8469945355191257,0.2092240422073008,0.9459459459459459,0.27703652600210166,0.7950923866209019,,,0.4940060658462428,0.1608918668166317,-0.29978465005631055,3652,37,0.0627053669222344,0.08,6,0.07,6,0.7875683120950043,0.7953274911421058,0.7326056595844873,0.02770275860618751,0.49334033717354486,0.5037435937233412,0.3131297033510505,0.4121225263448389,0.39397629384646304,56.31073842479949,2.634815406691359,0.7118002970120588,0.26334132172610025,631.4001885416893,98.80121316924878,47.480484486247576,20.5473537212551,15.53957504039007,32.4104145126034,0.0,-99.99999997766437,6.649442885135807
108002A,gru[nse],camels_aus,pub,0.3541220024555164,0.4954232589613367,0.20061835925792612,0.5022354022582869,-0.050348306779517356,-0.4370895689014428,0.23920697437508856,0.4954587173579437,0.28677281526704584,0.4938796342221827,,,0.4436149309760582,-0.3197194649301585,-0.14130125650582032,3652,37,0.0,0.06,6,0.09,6,0.7121929537953168,0.7144520667986813,0.987213490909024,0.7168513250949813,0.6515227891473732,-0.1391336520861075,0.7516080186489601,0.7836395375968156,0.7369356535521249,-7.730681506951206,4.69228867661694,0.5903195836600941,0.45954808100207556,68.05931697567597,88.72298619521163,-13.230194371554434,-514.9623837864121,80.58607917310222,-38.59235039913619,-98.54024780577153,-81.85987953739671,-6.342561879366204
108003A,gru[nse],camels_aus,pub,0.2560823774367826,0.2773357723214314,0.20012308399591897,0.254781319130097,-0.08164034266661059,0.1964796188127377,0.29938532136346496,0.3367149456498906,0.2161646930830058,0.24125322858437506,,0.15174229528822747,0.2782097344265286,-0.14439758711369818,-0.021253394884648835,3652,37,0.0,0.06,6,0.16,6,0.8189971562671867,0.8221555494773635,0.977964795298741,0.8104944346627398,0.6199850176498827,0.5822829092671068,0.7161898994445699,0.7547299645449905,0.796504865142694,-8.543476561188722,7.075073808968781,0.6164535524677568,0.5341879740496798,53.672382559948126,55.64194688530566,-26.301799157207675,-523.6534808015718,40.0971260790255,-48.51494990469174,-26.24250736701472,-32.82048425477578,-12.296062826884992
112002A,gru[nse],camels_aus,pub,0.25433692187404877,0.2447713921755936,0.20140407319936338,0.23334966353733755,-0.08778737056509688,0.112090806578399,0.28096927043339365,0.2563981265280841,0.24453377412686783,0.22262783829312668,,0.20293917545067713,0.2566838749981069,-0.08652944818734655,0.009565529698455172,3652,37,0.0,0.06,6,0.18,6,0.8702342085447059,0.8740366694869729,0.9823328878794012,0.7532390466699135,0.5676656764568302,0.5751851952075977,0.7354455982649482,0.7459348829468575,0.8017778101976951,-2.9443314529925835,7.523265496152724,0.6575213483554506,0.4886415107354335,57.66721982933859,51.336774999621326,-28.365416391918416,-1047.526334596739,15.04987366639483,-46.33967753832951,-4.987606609969875,-12.744224156967773,-27.181755194944483
112102A,gru[nse],camels_aus,pub,0.2532071874782662,0.23253630009894447,0.21084925705633925,0.23102635910212158,-0.03858014749336376,0.027514988153602052,0.1809246985569286,0.2500489262981018,0.2639515899387732,0.21065215511231422,,0.05776225307050738,0.24851078480644448,-0.08015291189932738,0.02067088737932174,3652,37,0.0,0.06,6,0.06,6,0.9071928322875507,0.9077055151159734,0.9965507111583911,0.9182603239852632,0.5184203503893179,0.5437029641356845,0.7511423569866915,0.748073142178407,0.8070973605560015,2.2497124851617505,6.949180319541658,0.6939594005492555,0.4813953332596884,53.711568474938446,49.70215696128892,-13.047961015996071,-997.7005044399833,18.379596784755503,-35.31453116819688,-33.73466889603923,-26.607962641488914,-28.664795552470377
