basin,model,dataset,regime,A_up,A_lo,E5_up,E5_lo,B5_up,B5_lo,E1_up,E1_lo,E20_up,E20_lo,alpha_star_up,alpha_star_lo,delta_bar,beta_bar,Delta_asym,n,m1,zero_frac,cp1_up,ncp_up,cp1_lo,ncp_lo,H_mean_up,H_mean_lo,H5_up,H5_lo,NSE,lnNSE,KGE,KGEp,KGEnp,PBIAS,RMSE,RSR,VE,MAPE,SMAPE,BiasFHV,BiasFLV,BiasFMS,PeakBias,Q95Bias,Q90Bias,BFIBias
102101A,gr4j[kge],camels_aus,temporal,0.4904036005884689,0.630946286531021,0.3764492603047758,0.9356353973208295,-0.29456128298605916,0.9356353973208295,0.3494771604130725,1.0,0.3703931442810206,0.5150022019913306,,0.2412060550246533,0.5789767677790204,-0.33588536644302197,-0.14054268594255215,3652,37,0.025191675794085433,0.28,6,0.06,6,0.5587816071809284,0.5654473907608776,0.802783757253208,0.0,0.42226227284047635,0.5620807431862965,0.5198898984874407,0.5863167267676227,0.7843165767644857,-15.518193802103227,6.90735617812616,0.7600906045725889,0.26085479590548666,371.14872990196807,115.79535355580425,-27.116438694312897,93.0754747741929,53.04327081101223,-48.41538374433177,307.8664942932758,-30.671347208982098,-19.14118683200963
104001A,gr4j[kge],camels_aus,temporal,0.3504701842570584,0.8406713693619953,0.25461562489242784,1.0,-0.09568352460113085,1.0,0.22453853665270754,1.0,0.25211318401471483,1.0,0.1743499147729821,,0.5822449874371092,0.49970517095171163,-0.4902011851049369,3652,37,0.23877327491785322,0.31,6,0.37,6,0.40957657196203345,0.41949117797587654,0.9794046739825533,0.0,0.701276360170595,0.7776079712287458,0.7398865450709795,0.6710563409748845,0.8296733545564688,13.341310920403547,2.712482888814117,0.5465561634721585,0.437618743817457,4281.695295895337,116.44899748742179,5.65860162745721,55.410470610534695,-49.62354495029627,-11.668749817794565,1622990869714.8516,1844382956519.8257,5.4344568518672265
105101A,gr4j[kge],camels_aus,temporal,0.33178111261200627,0.669185639392903,0.2935054349655901,1.0,-0.22714296695445388,1.0,0.2541855010013386,1.0,0.3093033287575632,0.9735075763262921,0.7976038691667034,,0.45354179909920966,0.19627060805176316,-0.3374045267808967,3652,37,0.1486856516976999,0.19,6,0.17,6,0.68970846535819,0.6981479566029948,0.8374019585978283,0.0,0.6528346842741741,0.8674939388681446,0.6601787215715891,0.7369668471089553,0.8092466547025794,-16.759108537207176,2.0362632483797523,0.589207362246795,0.49083017112998995,1055.1981902032974,90.70835981984182,-19.184335520489345,82.15571686795671,-1.104269442230547,-33.07379808508,325362383228.478,390050199793.70074,7.555024117199387
105102A,gr4j[kge],camels_aus,temporal,0.49791508500563053,0.820969945623406,0.39659748790141813,1.0,-0.24389334445114272,1.0,0.2563451189845529,1.0,0.4385788984915186,1.0,0.9169907451782864,,0.6438065440320679,0.08294498142575858,-0.32305486061777544,3652,37,0.2677984665936473,0.23,6,0.24,6,0.5962075694154713,0.6043203506600626,0.8297268853981826,0.0,0.6598236706402845,0.7785698090319136,0.7137701072641288,0.766518847090998,0.7571989379619837,-11.095805564383497,2.601695975933418,0.5832463710643346,0.35513564856469615,386.81776062154,128.76130880641347,-8.420352802980297,-39.190794249532864,-10.537943819643706,-34.51160498060163,22478175251.825294,27424688254.77722,-15.15189737284031
105105A,gr4j[kge],camels_aus,temporal,0.40627100101490804,0.7218894534334751,0.2927316706585095,1.0,-0.16220844967702402,1.0,0.2492701961592437,1.0,0.3075000929902983,0.812620679419358,,0.4907158123570066,0.5508982999314367,-0.14319247934107124,-0.31561845241856706,3652,37,0.13499452354874042,0.26,6,0.15,6,0.5866878340795132,0.5950125142085992,0.9094612005094824,0.0,0.5361856033477612,0.7197052265069447,0.7068161749404703,0.729099871796564,0.8613443388546429,-8.16566612937522,3.232127386755418,0.6810392034620613,0.40813076623187894,122.38705194102965,110.17965998628732,-7.221419051348522,84.76495948556988,43.65139276858792,-31.527142265799707,229188172368.89462,282571289988.1379,-9.838719772277647
107001B,gr4j[kge],camels_aus,temporal,0.26029469234511776,0.538165024681071,0.2590429382652344,1.0,-0.13495208388720936,1.0,0.23365150572571447,1.0,0.23972580641167107,0.7373605654115718,0.01355729478129403,,0.34733279626434194,0.12823078384982842,-0.2778703323359532,3652,37,0.0627053669222344,0.24,6,0.1,6,0.7441598634359985,0.75415645415269,0.9233058174424895,0.0,0.6041423281586674,0.8102080629808869,0.7446219320304792,0.7576075719480191,0.860952389970679,1.3445897161184994,2.3289574799601835,0.6291722115934021,0.5100149381479337,280.1883544271457,69.46655925286845,25.175638816374097,94.03087724943674,8.244058357414985,24.309495828420452,3364868131653.381,755.0769609474244,11.515661690462128
108002A,gr4j[kge],camels_aus,temporal,0.26498152299607963,0.34938827618132745,0.2185684606264379,0.2957801268351561,-0.11537292266930783,-0.26421448334077696,0.2904276078165142,0.2381921483448945,0.24679955633075853,0.3951100584478534,,,0.31091215498929675,-0.21942332024740618,-0.08440675318524782,3652,37,0.0,0.1,6,0.06,6,0.6912162808981863,0.6953787987036044,0.9603020199898038,0.5114626859579825,0.6736465634262834,0.48178672906765685,0.7263323683491538,0.7781673014801431,0.8111152216984461,-11.911840875066298,4.540896761893191,0.5712735216809165,0.555941600604154,50.239417905666514,62.18243099785944,-16.448953782728594,45.15963304541335,56.81397427120857,-36.250404489853665,-66.01525375718602,-66.85858867719107,-1.5049520067123157
108003A,gr4j[kge],camels_aus,temporal,0.19371369512499523,0.1711670633816574,0.2095231257415599,0.2024725853471986,0.02230000224201303,0.18841056628667865,0.19948003162265104,0.43028947442909743,0.20100402304841775,0.1483504415144647,0.03122984452717172,0.17283800050940246,0.17811872954996993,-0.02380715806243872,0.02254663174333782,3652,37,0.0,0.14,6,0.06,6,0.9207603331226791,0.930637258211637,0.989569587223125,0.6886619104913464,0.5706748727279254,0.8104468008699603,0.6918377107968716,0.7714904374833292,0.8119338063782687,16.143532921865685,7.520102672948266,0.6552290647339101,0.5459021754941809,38.95259941621655,35.623745909993836,22.659073579617257,63.49076785798291,27.6426129230787,-7.860047465479707,-2.848605947109404,-23.079015518846003,-6.394277239538477
112002A,gr4j[kge],camels_aus,temporal,0.1747084293537872,0.2587926394362161,0.1795267412711444,0.29213110262957354,-0.054784828149388,-0.29178680958825776,0.19396892256204395,0.23902438397026052,0.15603335315893208,0.30178537901398084,,,0.21242524442183303,-0.16502180662986116,-0.08408421008242892,3652,37,0.0,0.1,6,0.22,6,0.5217072838848007,0.5314293644484004,0.9883007289176614,0.02931422183125514,0.7252907868906814,0.7633861596752072,0.8405962261778462,0.7919306605023266,0.8820714673598031,-7.435662495975695,5.9969874794769895,0.5241270963319093,0.6702969048118628,35.65667966811806,42.4850488843666,-0.31375175792292387,25.99332487689664,26.562954947617143,-8.296919547778874,-50.467198630943166,-49.36073554259208,-9.718566163065203
112102A,gr4j[kge],camels_aus,temporal,0.17182699193390083,0.32206544989165325,0.10981954991601192,0.36046800191531164,-0.03086412856262706,-0.28833455197563895,0.12667735415662285,0.28246696296335916,0.12970690593415513,0.3808926456900881,,,0.24702678210795304,-0.2001386406333898,-0.15023845795775242,3652,37,0.0,0.11,6,0.06,6,0.6027878960620356,0.6056643199164665,0.9935120857780667,0.5354003703885748,0.8519680879301499,0.6276759352763838,0.8371772416199146,0.818344284272251,0.8341943851823144,-13.579087457017797,3.8528064387577063,0.38474915473571886,0.7062634584662155,40.12113684747275,49.405356421590476,-4.2504092113775584,25.62871866739534,32.218958989980116,-14.982137289813798,-62.9438327323493,-57.87137442666171,-6.165636223692197
