basin,run,A_up,A_up_p05,A_up_p95,A_lo,A_lo_p05,A_lo_p95,alpha_star,alpha_star_p05,alpha_star_p95
406224,aus_lstm_nse_s0,0.6856063750625789,0.6845883228590516,0.6869045002482389,0.7012963972637256,0.7012878804277604,0.7013116610642268,0.014045482114065968,0.01336975436527968,0.014580057275987187
616002,aus_lstm_nse_s0,0.43379300884603356,0.43384008291239995,0.43698407814433754,0.3817867971521689,0.3817617317219125,0.38188336629086184,0.15899608592097142,0.15792349093631475,0.16199931961716277
406208,aus_lstm_nse_s0,0.45032606446322004,0.44881726502951175,0.45271880083814586,0.8910453590898068,0.89067492753242,0.8914959149279637,,,
G8190001,aus_lstm_nse_s0,0.6211688616809208,0.6209307155811459,0.6278621719229663,0.8658273119957463,0.8648602703005387,0.8672150898029882,0.868925151779732,0.8683437823051651,0.8708807050690199
230210,aus_lstm_nse_s0,0.6545895616773013,0.6522986813979054,0.655481333173882,0.6117954073498095,0.6117496332982857,0.6118699502282139,,,
405264,aus_lstm_nse_s0,0.19577118131708426,0.21072624184649083,0.21633298717841765,0.17945141966209513,0.19501128867008796,0.20236322986040878,,,
401217,aus_lstm_nse_s0,0.1061760991929063,0.1273596268447334,0.13193677118130787,0.1947932017355961,0.22041972274261232,0.22810639959144724,0.9060494921693423,0.9103374648070537,0.9313219768318663
226222,aus_lstm_nse_s0,0.14619157035905953,0.14276350674869015,0.14673743709014864,0.266613755432555,0.29370881762227485,0.30127212053605096,0.21084093741389928,0.3008993752297231,0.33369348377623725
G9030250,aus_lstm_nse_s0,0.39964585945595227,0.4060507598440883,0.41063098242541357,0.8052818600987645,0.8023968182152494,0.8080811383070134,,,
210006,aus_lstm_nse_s0,0.4067951255143503,0.4106479430451195,0.4150016132916002,0.7112913351995002,0.7110191954988205,0.7138451813153894,,,
613002,aus_lstm_nse_s0,0.22236489553291608,0.22387059584260183,0.22824497923206447,0.6949579783404313,0.6983546617419731,0.7015754776876493,,0.01037608497416409,0.014126442177555983
305202,aus_lstm_nse_s0,0.24494092870538048,0.24806175163012223,0.2529763494023855,0.6339563403169683,0.6359197647361221,0.63941529331069,0.034367907067658195,0.028561619618935302,0.32117629076165044
G9070142,aus_lstm_nse_s0,0.5161782496888234,0.5158817158020657,0.5197868530713955,0.6304477962096454,0.6305623466323894,0.6335781401665468,,,
