arch,loss,E5_up,E5_lo,A_up,A_lo,NSE,lnNSE,KGE,PBIAS,delta_bar
lstm,delta,0.2537435440194199,0.453551912568306,0.2536581427115866,0.355223126178778,0.5535673125342351,0.7840533767130559,0.4695564069718068,-13.119195986469064,0.310118741016649
lstm,logmse,0.2340428263005787,0.3284224161339886,0.24536882874975158,0.32233923991172386,0.6424346138668102,0.7949510754675793,0.5545284679776941,-10.061480812737791,0.291332722821747
lstm,mae,0.21568698970621952,0.8764714652528501,0.23295385210466663,0.4797551672857852,0.7204202399259745,0.7800934341735122,0.6174969017677172,-10.355620411878862,0.32037147966589913
lstm,mse,0.22823045801145095,0.7830644475739698,0.2677665608666867,0.5795598288518746,0.7167902966798723,0.49565162060773404,0.5879312713418554,4.3712524910124255,0.40350745208354516
lstm,nse,0.21718593078705697,0.9016393442622951,0.2620502914129387,0.5907225012858451,0.7163794667561809,0.5729285632630817,0.6155008522772667,0.9496545984149453,0.3899793800943544
transformer,delta,0.24920334379075304,0.6008577224210125,0.2526342640785699,0.4209346016106524,0.6253142398665883,0.7632497314946668,0.5784242883054109,-6.066927606029214,0.334533850070804
transformer,logmse,1.0,0.6065573770491803,0.9998018663552036,0.9027883819611293,-0.07372974304374691,-3.399827450130478,,-100.0,0.9802847754654983
transformer,mae,0.23590178330476838,0.5167055085859997,0.2605605382911772,0.3879535312037957,0.7220533439500115,0.7948564708385844,0.6234877689855826,-13.430216956098874,0.3268702239609439
transformer,mse,0.2559465929102245,0.6229508196721312,0.2952013634446572,0.4741820596931932,0.6911272856090812,0.5995876999231748,0.5920220395298195,-7.583730312920266,0.39222095411297847
transformer,nse,0.233184163918167,0.6236278039101473,0.276497768894054,0.44252695947831144,0.7177012042283843,0.6891875173504236,0.6309108509161593,-8.653948680818015,0.378005034565464
