basin,arch,loss,n_seeds,A_up,A_lo,E5_up,E5_lo,B5_up,B5_lo,E1_up,E1_lo,E20_up,E20_lo,alpha_star_up,alpha_star_lo,delta_bar,beta_bar,Delta_asym,n,m1,zero_frac,cp1_up,ncp_up,cp1_lo,ncp_lo,H_mean_up,H_mean_lo,H5_up,H5_lo,NSE,lnNSE,KGE,KGEp,KGEnp,PBIAS,RMSE,RSR,VE,MAPE,SMAPE,BiasFHV,BiasFLV,BiasFMS,PeakBias,Q95Bias,Q90Bias,BFIBias
102101A,lstm,delta,1,0.2942870650923052,0.4304476970603317,0.47198753233181295,0.6932621814306256,-0.46908079404271436,0.5297973192994309,0.6516267676638252,0.8918918918918919,0.29285881501781247,0.5694036548754867,,0.11677341962444682,0.3120319839613944,-0.17313529434996733,-0.13616063196802652,3652,37,0.025191675794085433,0.06,6,0.14,6,0.6270983368863867,0.6273432439929743,0.24878478880551666,0.6837930707503331,0.2814836718469945,0.8952080578657389,0.1019682102240903,0.2766625887347345,0.5130291609095732,-44.60184806199379,7.703087090165935,0.8476534245509809,0.3828915370532283,102.25122826981656,62.40639679227898,-69.52643540047187,4.889601123420177,4.969681333790961,-81.61178396444699,-75.53033866918436,-81.76668192541209,20.524917621410808
104001A,lstm,delta,1,0.3236054653838341,0.29828985663318747,0.2954881191188828,0.1092896174863388,-0.24484434128999494,0.1092896174863388,0.31953815865586294,0.10810810810810811,0.26464232627928014,0.11491108071135431,,0.300527526486964,0.3516731680604508,-0.135622083768815,0.025315608750646645,3652,37,0.23877327491785322,0.4,6,0.24,6,0.9122886694928861,0.921750818640596,0.7941007049432592,,0.41425013727918436,0.8877431617974569,0.35485793233530705,0.45842010008957945,0.7457782345848265,-22.200036393593418,3.7982916181781534,0.7653429706483335,0.48692550214648156,1017.5511502287035,70.33463361209019,-36.94353078101378,99.99999999999993,85.5194996449209,-56.07503517601808,0.0,0.0,13.345394074199442
105101A,lstm,delta,1,0.31056862053365264,0.3472008389180344,0.2694214074544832,0.13114754098360656,-0.20966287072896778,0.13114754098360656,0.3061312674472786,0.13513513513513514,0.2953535858208635,0.3046965822380916,,0.16039553031038153,0.35386059314436913,-0.19586582541347913,-0.03663221838438174,3652,37,0.1486856516976999,0.49,6,0.15,6,0.8407297532582622,0.8311266300763603,0.7893132643675,,0.5842410963303087,0.9064246513338738,0.5351871145062324,0.649744577364355,0.7584253209380265,-22.621706729913857,2.2283660774534906,0.6447936907799976,0.49781772207812036,126.44444651142226,70.77211862887384,-28.878907781836187,79.77945387005177,30.389517967801417,-49.45135788028551,0.0,0.0,7.398446811395047
105102A,lstm,delta,1,0.4757311989428408,0.2806053545097888,0.4946970593318305,0.06557377049180328,-0.445074297265219,0.06557377049180328,0.5386369716343461,0.08108108108108109,0.434075292548969,0.06292749658002736,,0.3247938999620616,0.4222779875387624,-0.19753712319348019,0.19512584443305203,3652,37,0.2677984665936473,0.06,6,0.27,6,0.9234668450644716,0.9148772810981145,0.6417030563588098,,0.38427084779151754,0.7924061760774623,0.13993772091421008,0.3641048991446195,0.4582026978011361,-50.531328799387694,3.5002523804191443,0.7846841098228525,0.31268697416014957,165.68413419197591,84.45559750775256,-58.45175401187174,99.99999999999983,98.43949660875224,-71.94862693476685,0.0,0.0,29.86322625437922
105105A,lstm,delta,1,0.27161954023418206,0.4142214804662207,0.25915575435222804,0.32786885245901637,-0.1751175307667233,0.32786885245901637,0.35380172347998684,0.4864864864864865,0.2558571031846959,0.4658572750611784,,0.31669221667938285,0.3430248761141746,-0.03046728879492857,-0.14260194023203865,3652,37,0.13499452354874042,0.58,6,0.09,6,0.8496151970303142,0.8565363951675927,0.8951279675513923,0.0,0.5253936783084192,0.8714459266976841,0.5169414945659321,0.586769131202943,0.8106380618327582,-13.119195986469064,3.269513351062162,0.6889167741400849,0.4716741085525491,117.33322627728377,68.604975222835,-34.720368071828986,14.51591780416095,8.96232340212936,-55.850080689706616,0.0,0.0,10.692235496956107
107001B,lstm,delta,1,0.2929855209883001,0.5377679372060541,0.15120987531761024,0.26229508196721313,-0.06005488979610749,0.26229508196721313,0.14244535913023917,0.3783783783783784,0.21759940645233827,0.6584588663710994,,0.08438042117176518,0.4343164404958521,-0.34850737433977047,-0.24478241621775398,3652,37,0.0627053669222344,0.07,6,0.07,6,0.5221396690869663,0.5205368075446439,0.9907577060146202,0.33307195021353525,0.7539635997190397,0.7909216174168361,0.7414592086530516,0.7953075710777823,0.8043696091980324,-15.861054603143318,1.8360804716322245,0.49602056437305125,0.6423658450532146,68.35709627717675,86.8632880991706,-9.085403283781806,53.23816751796061,40.67291524540273,-27.19502024649128,0.0,-99.99999997766437,-3.2461122092250667
108002A,lstm,delta,1,0.21943911091289028,0.1444652389374667,0.28123494104521435,0.14349743632198464,-0.26744268201355104,0.10767730521850546,0.536320776835405,0.2008407147916035,0.23457732104072007,0.12474268446577615,,0.2613904288073208,0.1749631085597963,-0.06848129805944234,0.07497387197542357,3652,37,0.0,0.11,6,0.14,6,0.9028889337681703,0.9008839903132254,0.47246964300406125,0.6306659219569221,0.49106888592845743,0.8120084270018562,0.3715627743365656,0.49851595737879495,0.7004051042924772,-25.365601965637165,5.6705741406580845,0.7133940804853531,0.5744734633547678,32.1694679856105,34.992621711959394,-57.849227827069484,38.20823538763994,11.585713982939591,-71.587184033541,-6.18874656046888,-13.286383817525131,13.609097513295628
108003A,lstm,delta,1,0.19010506116156295,0.14627503088883076,0.32596324402585175,0.1760892288484849,-0.32596324402585175,0.11963735212311818,0.597107747138009,0.3754124877473512,0.19194644617972118,0.134259591460705,,0.1521093855346632,0.15264248279572082,-0.01938874290588114,0.04383003027273219,3652,37,0.0,0.06,6,0.06,6,0.8890832857789035,0.8841235950582851,0.19179016661765297,0.944734363047079,0.45046551248025135,0.8707324697873912,0.38554137546415945,0.4642790450195703,0.7631020941530137,-16.659776105954723,8.50801195941149,0.7413059338220278,0.6002446832907089,31.69058467194129,30.52849655914414,-67.52470338274648,45.6136350379205,21.067446009868725,-76.6562837194518,-2.290556547085671,-16.3305045314102,18.20303697340966
112002A,lstm,delta,1,0.1820958066852143,0.12105971891207201,0.3407421267358728,0.10790846945666738,-0.3407421267358728,-0.10387631746371072,0.6122181792500115,0.10212443996182467,0.17275306697729245,0.1010732573936723,,,0.14254666959254275,-0.11120177623725926,0.06103608777314229,3652,37,0.0,0.06,6,0.26,6,0.7370836714405307,0.7348658679824372,0.14620361083555408,0.3715378249990805,0.45210051398356044,0.8391094516667624,0.3487991738380153,0.4819966861651036,0.6957120024873339,-27.20494710905229,8.469289470999062,0.7402023277567018,0.6586148154262814,23.57435369635976,28.50933391850855,-68.70763781052956,9.591306787336508,10.04064136427019,-77.29159732236728,-19.836235419069425,-19.542475489902742,9.431422150599404
112102A,lstm,delta,1,0.16985189253425023,0.14111290447618455,0.2555728984811649,0.08700405534975349,-0.2554743238119835,-0.06759990755173591,0.5340287071765594,0.04071517749696608,0.16606105479796812,0.14138931719051048,,0.0175112291296801,0.15014913847671937,-0.13929689242036797,0.028738988058065684,3652,37,0.0,0.06,6,0.06,6,0.3740305022829882,0.3642497925732531,0.188692141683025,0.5305536200159746,0.5012335161461884,0.848472341657466,0.39173798837346785,0.536264316228832,0.7060891510904426,-27.899812625022957,7.072096024213527,0.7062340149368421,0.6889169642375665,24.999744574180983,30.0298276953438,-62.133064326881026,34.082563036634966,8.404104500393464,-72.52479350815558,-31.814939555861955,-25.073201676196707,3.786501881768926
