setting,value,n,dA_up_median,dE5_up_median,dE5_lo_median,dalpha_star_median
aggregation,3day,120,0.010370520090359742,0.028918593925040648,0.005101493086077297,0.015269754233986757
aggregation,daily,120,0.0,0.0,0.0,0.0
aggregation,monthly,120,0.05259468316723684,,,0.11016277323704791
alpha_grid,0.5pct,120,5.332275910255313e-05,0.0,0.0,0.00039449027645937357
alpha_grid,1pct,120,0.0,0.0,0.0,0.0
alpha_grid,5pct,120,0.0009881029476880299,0.0,0.0,0.0017084288536357572
min_m,10,120,0.0,0.0,0.0,0.0
min_m,30,120,0.0,0.0,0.0,0.0
min_m,50,120,0.0003149507192371781,0.0,0.0,0.0
rank_by,mean,120,0.013971296858366164,0.017883368120193976,0.06274769717658088,0.17957394737172205
rank_by,obs,120,0.0,0.0,0.0,0.0
rank_by,sim,120,0.029196751864067227,0.037394262198491984,0.18861006729042584,0.3856775169870434
tie_seed,0,120,0.0,0.0,0.0,0.0
tie_seed,1,120,6.615574762725007e-07,0.0,0.0,0.0
tie_seed,2,120,5.795062943264595e-07,0.0,0.0,0.0
tie_seed,3,120,4.6943656135944867e-07,0.0,0.0,0.0
tie_seed,4,120,4.466933016256114e-07,0.0,0.0,0.0
zero_rule,delta0,120,0.0,0.0,0.0,0.0
zero_rule,exclude,120,0.0,0.0,0.0,0.0
